job_title,company_name,company_desc,job_desc,job_requirement,salary,location,employment_type,department,label
Accountant,Equity Model Limited,"Accounting, Auditing & Finance","Compiling, analyzing, and reporting financial data.","This position is open preferably to a male candidate,Minimum academic qualification preferably in accounting,Candidates aged between 22 - 30 years,Ability to write clearly and help with word processing when necessary.,A warm personality and strong communication skills.,Ability to work well under limited supervision.,Great communication and writing skills.,Hands-on experience in managing time and personnel.","75,000 - 150,000",Abuja,Full Time,Law & Compliance,0
Content Writer,CLINTON FUND (CF),Management & Business Development,"Creating, improving and maintaining content to achieve our business goals. Your duties will also include sharing content to raise brand awareness and monitoring web traffic and metrics to identify best practices. "," Bachelor's degree in Journalism, English, Communications or related field.","60,000 - 100,000",Lagos,Full Time,Content Writing,1
Accountant,Schleez Nigeria Limited,"Accounting, Auditing & Finance","Managing financial transactions, preparing financial reports, and providing financial advice to clients.","Minimum of Bachelor's degree in Accounting or related field, Professional certification such as ACCA or ICAN, Proven experience as an Accountant, Strong computer skills, including proficiency in Excel, Excellent communication and interpersonal skills",Negotiable,"First Floor, Left Wing, No. 49, Olowu Street, Off Moboloji Bank, Anthony Way, Ikeja, Lagos State",Full-time,Accounting,1
Sales Executive,Bons Industries Limited,Marketing & Communications,"Understanding of the sales process and dynamics.""","Minimum academic qualification of BSC/HND Degree in Marketing and other related disciplines, Minimum of 3years of work experience., Self-motivated and driven by targets., Strong communication skills – including both","75,000 - 150,000",Enugu,Full Time,Manufacturing & Warehousing,0
Bulk/Partnership Marketing Officer,TAMAK LOGISTICS,Marketing & Communications,Establish relationships with major businesses situated on the island,"Be smart & resourceful.,Great knowledge of how to socialize and interact with the major businesses & vendors.,Have a working smartphone.,Be well-spoken & presentable.,The ability to work with minimal / no supervision.,Be able to use Microsoft office tools.,Age preference is between 21-28 years.","Less than 75,000",Lagos,Full Time,Shipping & Logistics,0
Marketer/Sales Executive,Color Sense Limited,Sales,"Present, promote, and sell products/services using solid arguments to existing and prospective customers","This position is open preferably to a female candidate,Minimum academic qualification of B.Sc. or HND Graduate with a minimum of Second Class Upper or Equivalent for HND obtained from full-time academic study.,Highly cerebral, articulate, and highly computer literate with proficiency in Excel and Word documents.,Must be able to take measurements of tall and small buildings with standard measuring devices and Laser measuring devices.,Minimum of 2 years relevant experience in the building industry.,Would handle full supervision of painting projects.,Role Not Gender-specific.,Candidate must have had a minimum of 6 Credits at WAEC/WASC level.","Less than 75,000",Lagos,Full Time,Hospitality & Hotel,0
Medical Sales Representative,Sylken Ltd,Medical & Pharmaceutical,Researching competitors’ medications and their respective market performances and reporting from time to time to the marketing team.,"Minimum academic qualification of a Diploma in a medical field,Excellent verbal and written communication skills,Excellent teamwork and networking skills,Strong organizational and time management skills,Highly motivated and the target is driven with a proven track record in sales.","75,000 - 150,000",Rest of Nigeria (Kogi),Full Time,Healthcare,0
Group Sales Lead,Leadway Assurance,Sales,Establishing sales goals for individual sales representatives based on their past performance as well as market conditions,"Minimum of 3 years of experience,Excellent communication and leadership skills,Minimum academic qualification of a Bachelor's degree/ HND in any discipline.,Good sales acumen and track record,Experience in insurance background is an added advantage.","75,000 - 150,000",Lagos,Full Time,"Banking, Finance & Insurance",0
Real Estate Agent,HOME PLACES CONSULT,Real Estate,"Assist clients in buying, selling, and renting properties. Develop and maintain relationships with clients.",Minimum of Bachelor's degree in any field. At least 2 years of experience in real estate. Excellent communication and negotiation skills.,Commission-based,Lagos State,Full-time,Real Estate,1
Medical Sales Representative,Sylken Ltd,Medical & Pharmaceutical,Researching competitors’ medications and their respective market performances and reporting from time to time to the marketing team.,"Minimum academic qualification of a Diploma in a medical field,Excellent verbal and written communication skills,Excellent teamwork and networking skills,Strong organizational and time management skills,Highly motivated and the target is driven with a proven track record in sales.","75,000 - 150,000",Lagos,Full Time,Healthcare,0
Accountant,MPG RESOURCES,"Accounting, Auditing & Finance","Preparing financial statements, managing accounts payable and receivable, and liaising with clients to ensure compliance with tax regulations.","Bachelor's degree in Accounting or related field, Professional certification (e.g. ACCA, ICAN), 3+ years of accounting experience, Proficiency in accounting software such as QuickBooks, Sage, and Xero, Strong analytical and organizational skills, Excellent communication and interpersonal abilities","150,000 - 200,000",Lagos State,Full-time,Finance,1
Medical Sales Representative,Sylken Ltd,Medical & Pharmaceutical,Researching competitors’ medications and their respective market performances and reporting from time to time to the marketing team.,"Minimum academic qualification of a Diploma in a medical field,Excellent verbal and written communication skills,Excellent teamwork and networking skills,Strong organizational and time management skills,Highly motivated and the target is driven with a proven track record in sales.","75,000 - 150,000",Rest of Nigeria (Delta),Full Time,Healthcare,0
Web Designer.,Copen Group,Creative & Design,"Undertake daily posting on our social media channels, following a social media content plan that underpins our goals for increased engagement and audience growth","BSC/HND in Computer Science, Engineering, Mathematics, Physics or other related relevant courses,Minimum of 3-5 years of working experience,Experience with design software (e.g., Photoshop),Understanding of UX/UI (user experience/user interface) design,HTML and CSS,WordPress development experience,Knowledge of SEO (search engine optimization),Experience in responding well to clients’ design requests,Good visual design sense","75,000 - 150,000",Enugu,Full Time,Real Estate,0
Human Resources Manager,DAHLIA CONSULT,Human Resources,"Oversee the recruitment process, develop and implement HR policies and procedures, and provide employee training and development programs.","Bachelor's degree in Human Resources Management or related field, experience in human resources management, knowledge of labor laws and regulations, excellent communication and interpersonal skills.","250,000 - 400,000",Lagos State,Full-time,Human Resources,1
Personal Assistant,Color Sense Limited,Admin & Office,Will be attached to the Executive Director and work between the Lagos Mainland and the Lagos Island,"This position is open preferably to a female candidate only,,Minimum academic qualification of a B.Sc. Degree in Architecture, Quantity Surveying, Mathematics, Computer Science, and the Sciences, with a minimum of Second Class Upper, obtained through full-time academic studies.,An MBA would be an advantage.,2 years post NYSC experience.,Must be highly cerebral and be able to work with minimum supervision.,Highly organized, articulate, and highly Computer Literate with proficiency in Excel and Word documents.,Good diction, and an amiable personality.,Candidate must have had a minimum of 6 Credits at WAEC/WASC level.","150,000 - 250,000",Lagos,Full Time,Hospitality & Hotel,0
Chief Accountant/ Head of Accounts,Color Sense Limited,"Accounting, Auditing & Finance","Setting up a well-run and highly efficient accounting department that  will handle the accounting, reporting, payments, and recording-keeping activities of the company both at the head office and sites","ICAN + Graduate of Accounting or Accountancy with B.Sc. Second Class Upper or equivalent in HND  - not obtained through Correspondence or Virtual Learning.,Must possess ICAN Final Certificate, not ANAN. Must have completed NYSC. All certificates will be verified.,Must have had a minimum of 6 Credits at WAEC/WASC level.,A minimum of 2 years of relevant accounting experience is required.,Candidate must be highly cerebral, dynamic, with an analytical mindset and good interpersonal skills, and require minimum supervision.,Practical knowledge of Excel and  Xero Accounting Software, or other Accounting Software packages would be an advantage.","250,000 - 400,000",Lagos,Full Time,Hospitality & Hotel,0
Sales Executive,Boss Resources,Sales and Marketing,"Generating new business, building relationships with clients, and achieving sales targets.","Bachelor's degree in Business Administration, Marketing or related field, Proven experience in sales or marketing, Strong communication and interpersonal skills, Ability to think creatively and strategically, Excellent organizational and time management skills",Negotiable,"No. 90, Awolowo Way, Opposite MAN House, Ikeja,",Full-time,Marketing,1
Project Supervisor,Color Sense Limited,Product & Project Management,Technically supervises other project staff while operationalizing the project's objectives,"Minimum academic qualification of a B.Sc. or HND Graduate of Quantity Surveying with a minimum of Second Class Upper or Equivalent for HND - obtained through full-time academic studies.,Highly cerebral, articulate, and highly computer literate with proficiency in Excel and Word documents.,Must be able to take measurements of Tall buildings with standard measuring devices and Laser measuring devices.,Minimum of 2 years relevant experience in the building industry.,Candidate must have had a minimum of 6 Credits at WAEC/WASC level.,Role Not Gender-specific.","75,000 - 150,000",Lagos,Full Time,Hospitality & Hotel,0
Operations Specialist,Dripylux international services LTD,Management & Business Development,"Ensure all operations are carried out in an appropriate, cost-effective way","Minimum academic qualification of HND/Bachelor's Degree in Business operation management or related field.,2 - 3 years of work experience,Proven work experience as an operations specialist or similar role,Knowledge of organizational effectiveness and operations management,Experience in budgeting and forecasting.,Ability to build consensus and relationships among managers, porters, and employees,Excellent communication skills.,Solid understanding of financial management,Leadership ability,Outstanding organizational skills.","75,000 - 150,000",Lagos,Full Time,"Retail, Fashion & FMCG",0
Accountant,O`NEAL INCORPORATED,"Accounting, Auditing & Finance","Manage financial records, prepare financial statements, provide financial advice to clients.",Bachelor's degree in Accounting or Finance. At least 3 years of experience in accounting or finance. Excellent analytical and communication skills.,"200,000 - 300,000","1 Babatunde Street, Off Ogunlana Drive",Full-time,Accounting/Finance,1
Receptionist,Buddiez Hotel & Resort,Hospitality & Leisure,Greet all guests and assist them with check-in and check-out,"At least 2 years of experience working in a hotel receptionist or guest services role,Minimum academic qualification of a High school diploma, GED, OND or a suitable equivalent,Proficient in Microsoft Office Suite and other necessary computer programs,Solid written and verbal communication skills,Fluency in English,Ability to maintain a positive, friendly attitude even under high pressure,Excellent organizational and multitasking skills,Professional attitude and appearance","Less than 75,000",Enugu,Full Time,Hospitality & Hotel,0
Human Resources Manager,Virgin Land Careers,Recruitment,Lead our HR team," At least 5 years of experience in HR management , Strong leadership skills, Excellent communication skills , Experience in recruitment, training and development, and compensation and benefits","300,000 - 400,000",Lagos State,Full-time,Human Resources,1
